stop_id,stop_name,stop_type,coordinates
6200208410,North Bridge,bus,"[-3.188241, 55.951791]"
6200208430,South Bridge,bus,"[-3.186795, 55.949028]"
6200208460,Surgeons' Hall,bus,"[-3.184728, 55.945813]"
6200208530,St Partick Square,bus,"[-3.183011, 55.943065]"
6200208550,Bernard Terrace,bus,"[-3.18123, 55.941372]"
6200208590,East Preston Street,bus,"[-3.178398, 55.939324]"
6200208830,Commonwealth Pool,bus,"[-3.173045, 55.938329]"
6200208840,Marchhall Place,bus,"[-3.170623, 55.936855]"
6200208850,Priestfield Road,bus,"[-3.167393, 55.934316]"
6200208860,Prestonfield Avenue,bus,"[-3.165132, 55.932585]"
6200208870,Cameron Crescent,bus,"[-3.161877, 55.92974]"
6200209510,Cameron Toll,bus,"[-3.15984, 55.928519]"
6200209520,Bridgend Cottages,bus,"[-3.156773, 55.927641]"
6200209530,Craigmillar Cemetery,bus,"[-3.15318, 55.925761]"
6200209540,Walter Scott Avenue,bus,"[-3.149584, 55.923233]"
6200209550,Kingston Avenue,bus,"[-3.145093, 55.921253]"
6200209560,Craigmillar Castle Road,bus,"[-3.142312, 55.920812]"
6200209567,Little France,bus,"[-3.138848, 55.920008]"
6200209570,Little France Road,bus,"[-3.134814, 55.91832]"
6200209580,Fernieside Drive,bus,"[-3.128269, 55.914993]"
6200209590,Fernieside Grove,bus,"[-3.126008, 55.913711]"
6200239040,Fernieside Grove,bus,"[-3.126978, 55.91407]"
6200239055,Little France Road,bus,"[-3.135537, 55.918431]"
6200239060,Fernieside Drive,bus,"[-3.129597, 55.915538]"
6200239070,Little France,bus,"[-3.138843, 55.919856]"
6200239080,Craigmillar Castle Road,bus,"[-3.143322, 55.920892]"
6200239090,Kingston Avenue,bus,"[-3.147475, 55.921725]"
6200239100,Walter Scott Avenue,bus,"[-3.15082, 55.923887]"
6200239105,Craigmillar Cemetery,bus,"[-3.153956, 55.926041]"
6200239110,Bridgend Cottages,bus,"[-3.155799, 55.927201]"
6200239120,Cameron Toll,bus,"[-3.16166, 55.92838]"
6200239720,Cameron Crescent,bus,"[-3.162611, 55.93021]"
6200239730,Prestonfield Avenue,bus,"[-3.166634, 55.933577]"
6200239740,Priestfield Road,bus,"[-3.169085, 55.935243]"
6200239750,Marchhall Place,bus,"[-3.170334, 55.936318]"
6200239760,Commonwealth Pool,bus,"[-3.172707, 55.93803]"
6200240010,East Preston Street,bus,"[-3.178107, 55.939227]"
6200240020,Bernard Terrace,bus,"[-3.180853, 55.940576]"
6200240060,St Patrick Square,bus,"[-3.183305, 55.943284]"
6200240120,Surgeons' Hall,bus,"[-3.184901, 55.94574]"
6200240130,South Bridge,bus,"[-3.187254, 55.949356]"
6200600746,Bus Station,bus,"[-3.191731, 55.955396]"
6280000004,Cranston House,bus,"[-2.992209, 55.871732]"
6280000005,Viaduct,bus,"[-2.978135, 55.868754]"
6280000006,Viaduct,bus,"[-2.977867, 55.868927]"
6280000057,Main Street,bus,"[-3.031849, 55.886996]"
6280000060,Tynehead Road End,bus,"[-2.926832, 55.84498]"
6280000062,Crichton House Road End,bus,"[-2.940444, 55.850529]"
6280000063,Crichton House Road End,bus,"[-2.941359, 55.851357]"
6280000064,Village Access,bus,"[-2.901971, 55.838318]"
6280000128,Tynehead Road End,bus,"[-2.925825, 55.84497]"
6280000130,Campend,bus,"[-3.096902, 55.902805]"
6280000131,Campend,bus,"[-3.09629, 55.902649]"
6280000140,Gilston Road End,bus,"[-2.873949, 55.824818]"
6280000141,Gilston Road End,bus,"[-2.873362, 55.824301]"
6280300045,James Lean Avenue,bus,"[-3.060242, 55.891643]"
6280300050,The Wisp,bus,"[-3.116975, 55.91338]"
6280300055,Old Dalkeith Road,bus,"[-3.110014, 55.910547]"
6280300130,Lugton Brae,bus,"[-3.080356, 55.896796]"
6280300195,Glebe Street,bus,"[-3.073527, 55.895598]"
6280300347,Buccleuch Street,bus,"[-3.07057, 55.892748]"
6280300555,Bruce Gardens,bus,"[-3.057101, 55.890798]"
6280300560,Primrose Terrace,bus,"[-3.053784, 55.889946]"
6280300570,Hepburn Drive,bus,"[-3.050291, 55.889086]"
6280300680,Chesterhill,bus,"[-3.002129, 55.875282]"
6280300690,Main Street,bus,"[-2.996964, 55.873302]"
6280300710,Crichton Avenue,bus,"[-2.97051, 55.868679]"
6280300720,Oxenfoord Avenue,bus,"[-2.966698, 55.867011]"
6280300730,Roman Camp,bus,"[-2.964236, 55.865036]"
6280300740,Bowling Green,bus,"[-2.963552, 55.863864]"
628031105,Summerside,bus,"[-3.094536, 55.901145]"
6280326820,Village Access,bus,"[-2.901243, 55.837892]"
6280326870,Bowling Green,bus,"[-2.96377, 55.863665]"
6280326880,Roman Camp,bus,"[-2.965531, 55.865727]"
6280326890,Oxenfoord Avenue,bus,"[-2.967325, 55.867168]"
6280326900,Crichton Avenue,bus,"[-2.971242, 55.868557]"
6280326920,Cranston House,bus,"[-2.991059, 55.87113]"
6280326930,Main Street,bus,"[-2.998397, 55.873695]"
6280326940,Chesterhill,bus,"[-3.003159, 55.875525]"
6280326980,Main Street,bus,"[-3.032601, 55.887008]"
6280327050,Hepburn Drive,bus,"[-3.052234, 55.889375]"
6280327060,Primrose Terrace,bus,"[-3.054826, 55.890027]"
6280327065,Bruce Gardens,bus,"[-3.056743, 55.890576]"
6280327070,James Lean Avenue,bus,"[-3.060767, 55.891566]"
6280327075,South Street,bus,"[-3.069646, 55.893475]"
6280327195,Old Edinburgh Road,bus,"[-3.072476, 55.893451]"
6280327200,Bridgend Court,bus,"[-3.071988, 55.895485]"
6280327220,Lugton Brae,bus,"[-3.081253, 55.896851]"
6280327230,Melville Gate Road,bus,"[-3.086028, 55.89716]"
6280327250,Old Dalkeith Road,bus,"[-3.110075, 55.910423]"
6280327310,The Wisp,bus,"[-3.117466, 55.913223]"
6900100,Drygrange Nursing Home,bus,"[-2.677788, 55.614065]"
6900101,Drygrange Nursing Home,bus,"[-2.677549, 55.614066]"
69001023,Easter Langlee Cottages,bus,"[-2.765118, 55.611431]"
69001094,Claymires Lane,bus,"[-2.696616, 55.599735]"
69001095,St John's Wynd,bus,"[-2.693744, 55.599725]"
69001103,Agricultural College,bus,"[-2.664579, 55.574673]"
69001446,Abbey Car Park,bus,"[-2.719195, 55.59859]"
69001446,Abbey Car Park,bus,"[-2.719195, 55.59859]"
69001447,Wright's Chiropractor,bus,"[-2.722307, 55.59867]"
69001461,Melrose Road,bus,"[-2.794856, 55.613982]"
69001462,Melrose Road,bus,"[-2.793502, 55.613757]"
69001463,Ellwyn Crescent,bus,"[-2.799715, 55.615595]"
69001509,Health Centre,bus,"[-2.803927, 55.61581]"
69001608,East Green nursery,bus,"[-2.670421, 55.639193]"
69001669,Wiselawmill Rd End,bus,"[-2.778195, 55.756948]"
69001670,Wiselawmill Rd End,bus,"[-2.777892, 55.75695]"
69001671,Lauder Haugh Rd End,bus,"[-2.770297, 55.745102]"
69001672,Lauder Haugh Rd End,bus,"[-2.770633, 55.74518]"
69001673,St Leonards Rd End,bus,"[-2.716572, 55.705334]"
69001674,St Leonards Rd End,bus,"[-2.715516, 55.705026]"
69001675,Galadean Rd End,bus,"[-2.707328, 55.678989]"
69001676,Galadean Rd End,bus,"[-2.708401, 55.67945]"
69001677,Carolside,bus,"[-2.69107, 55.647992]"
69001678,Carolside,bus,"[-2.691348, 55.648493]"
69001713,Lauder Barns,bus,"[-2.731515, 55.711329]"
69001714,Lauder Barns,bus,"[-2.731591, 55.711149]"
69001719,Leaderfoot Bridge,bus,"[-2.674604, 55.602491]"
69001720,Leaderfoot Bridge,bus,"[-2.674219, 55.602251]"
69001754,Earlston High School Campus,bus,"[-2.660709, 55.639527]"
69001817,Priorswalk,bus,"[-2.711052, 55.597631]"
69002001,Transport Interchange,bus,"[-2.805946, 55.617468]"
69002040,Thirlestane Drive,bus,"[-2.741097, 55.716429]"
6900225,Lowood Toll,bus,"[-2.750079, 55.606159]"
6900255,East Green nursery,bus,"[-2.670325, 55.639113]"
6900258,South Croft Park,bus,"[-2.674861, 55.638701]"
6900262,Melrose Road,bus,"[-2.680246, 55.63736]"
6900270,The Old Sawmill,bus,"[-2.665668, 55.640481]"
6900276,Earlston Bus Stance,bus,"[-2.677088, 55.637961]"
6900278,Melrose Road,bus,"[-2.680105, 55.637126]"
690030420,Priorswood Court,bus,"[-2.71611, 55.596767]"
690030923,Priorswalk,bus,"[-2.711102, 55.597783]"
690031493,Easter Langlee Industrial Estate,bus,"[-2.767512, 55.611245]"
690031723,Stirling Street,bus,"[-2.80689, 55.61783]"
690031846,Dean Place,bus,"[-2.702632, 55.598883]"
6900338,Ellwyn Crescent,bus,"[-2.799783, 55.615792]"
6900340,Langlee Primary School,bus,"[-2.785637, 55.611867]"
6900343,Winston Road,bus,"[-2.773434, 55.611316]"
6900344,Easter Langlee Industrial Estate,bus,"[-2.768017, 55.611344]"
6900351,Winston Road,bus,"[-2.775162, 55.611188]"
6900352,Hawthorn Road,bus,"[-2.780899, 55.611466]"
6900353,Hawthorn Road,bus,"[-2.781711, 55.611613]"
6900372,Langlee Primary School,bus,"[-2.786118, 55.612106]"
6900422,Market Street Fountain,bus,"[-2.806319, 55.614788]"
6900601,The Avenue,bus,"[-2.749375, 55.719826]"
6900602,West High Street,bus,"[-2.751596, 55.721083]"
6900603,Medical Centre,bus,"[-2.754625, 55.722089]"
6900604,Medical Centre,bus,"[-2.754685, 55.721935]"
6900605,Factors Park,bus,"[-2.744488, 55.718161]"
6900606,Post Office,bus,"[-2.748987, 55.719508]"
6900607,Leaderfoot Roundabout,bus,"[-2.670616, 55.594804]"
6900608,Leaderfoot Roundabout,bus,"[-2.670936, 55.594973]"
6900625,Borders General Hospital,bus,"[-2.741491, 55.596049]"
6900626,Pavilion Rd End,bus,"[-2.754705, 55.609824]"
6900627,Pavilion Rd End,bus,"[-2.754548, 55.609933]"
6900633,Priorwood House,bus,"[-2.714123, 55.597227]"
6900634,Lowood Bridge,bus,"[-2.748451, 55.60404]"
6900635,Lowood Bridge,bus,"[-2.748672, 55.603966]"
6900636,Lowood Toll,bus,"[-2.749682, 55.606168]"
6900643,NO LONGER PRESENT,bus,"[-2.72414, 55.599145]"
6900645,Priorwood House,bus,"[-2.714326, 55.597019]"
6900647,Market Square,bus,"[-2.719791, 55.597337]"
6900647,Market Square,bus,"[-2.719791, 55.597337]"
6900651,St Dunstan's Lane,bus,"[-2.721474, 55.598289]"
6900666,Dean Park,bus,"[-2.702282, 55.598823]"
6900669,Claymires Lane,bus,"[-2.696445, 55.599889]"
6900670,Rushbank,bus,"[-2.692253, 55.599778]"
6900671,Rushbank,bus,"[-2.691537, 55.599701]"
6900672,St John's Wynd,bus,"[-2.694361, 55.599658]"
6900673,The Orchard,bus,"[-2.699184, 55.599532]"
6900677,Leaderfoot Roundabout,bus,"[-2.673544, 55.596207]"
6900678,Leaderfoot Roundabout,bus,"[-2.672942, 55.596265]"
6900682,Agricultural College,bus,"[-2.664688, 55.57452]"
6900683,Council Headquarters,bus,"[-2.673097, 55.578427]"
6900686,Carfraemill Roundabout,bus,"[-2.78649, 55.770059]"
6900687,Carfraemill Roundabout,bus,"[-2.786011, 55.770008]"
6900688,Station Road,bus,"[-2.794834, 55.774345]"
6900690,Village Hall,bus,"[-2.802923, 55.772388]"
6900842,Dryburgh Arms,bus,"[-2.671107, 55.576174]"
6900843,Melbourne Place,bus,"[-2.671617, 55.57627]"
6900844,Council Headquarters,bus,"[-2.672681, 55.578205]"
6900845,Eildon Road End,bus,"[-2.674809, 55.58115]"
6900980,Police Station,bus,"[-2.743611, 55.71804]"
6900981,West High Street,bus,"[-2.750996, 55.720502]"
6900982,Brownsmuir Park,bus,"[-2.757051, 55.723251]"
6900983,Brownsmuir Park,bus,"[-2.757136, 55.723538]"
6900984,Gibson Park,bus,"[-2.724185, 55.598983]"
6900985,Weirhill Place,bus,"[-2.7275, 55.599763]"
6900986,Weirhill Place,bus,"[-2.728054, 55.599661]"
6900987,Holy Trinity Church,bus,"[-2.731222, 55.599354]"
6900988,Holy Trinity Church,bus,"[-2.731726, 55.599145]"
6900989,Ormiston Terrace,bus,"[-2.734244, 55.598842]"
6900990,Ormiston Terrace,bus,"[-2.734674, 55.598938]"
6900991,Darnick Vale,bus,"[-2.739984, 55.598583]"
6900992,Darnick Vale,bus,"[-2.73978, 55.598728]"
